Open_time,Open,High,Low,Close,Volume,Spread,MA7,MA21,Lag_1,Lag_2,Lag_3,Target_3d,Daily_Return,Volatility_7d,RSI
2023-06-11,25841.22,26206.88,25634.7,25925.55,30014.29595,572.1800000000003,26291.542857142857,26829.703333333335,25841.21,26477.81,26498.61,25128.6,0.3263779056785765,3.530797845954544,33.72232273693531
2023-06-12,25925.54,26106.48,25602.11,25905.19,29900.50893,504.369999999999,26316.827142857142,26784.74714285714,25925.55,25841.21,26477.81,25598.49,-0.07853256729365432,2.9130913131860625,35.38187176797598
2023-06-13,25905.2,26433.21,25712.57,25934.25,41065.60853,720.6399999999994,26131.70857142857,26723.539523809523,25905.19,25925.55,25841.21,26345.0,0.11217829323004747,1.5111507917074745,35.92003903656477
2023-06-14,25934.24,26098.0,24820.56,25128.6,45077.31608,1277.4399999999987,25958.745714285713,26666.377142857145,25934.25,25905.19,25925.55,26516.99,-3.106509731339835,1.4647406928092859,34.16233652609877
2023-06-15,25128.6,25759.01,24800.0,25598.49,48664.86063,959.0099999999984,25830.157142857144,26624.696190476192,25128.6,25934.25,25905.19,26339.97,1.8699410233757652,1.7052332527392797,40.830754238588085
2023-06-16,25598.49,26518.0,25175.56,26345.0,51596.91662,1342.4399999999987,25811.184285714287,26607.509523809527,25598.49,25128.6,25934.25,26844.35,2.916226699309221,2.1423621677306386,43.56240505947813
2023-06-17,26345.01,26839.99,26181.0,26516.99,27842.2195,658.9900000000016,25907.72428571428,26591.448571428573,26345.0,25598.49,25128.6,28307.99,0.6528373505409135,1.8782645044383655,46.038573390013624
2023-06-18,26516.99,26700.0,26255.85,26339.97,21538.31022,444.15000000000146,25966.92714285714,26509.304285714286,26516.99,26345.0,25598.49,29993.89,-0.6675719981792838,1.9204989891578796,44.54142445135417
2023-06-19,26339.98,27068.09,26256.61,26844.35,35872.65974,811.4799999999996,26101.092857142856,26466.82571428571,26339.97,26516.99,26345.0,29884.92,1.9148844892382,2.01061450840074,58.97444556475927
2023-06-20,26844.35,28402.74,26652.0,28307.99,69666.95525,1750.7400000000016,26440.198571428573,26496.044285714284,26844.35,26339.97,26516.99,30688.5,5.452320506922326,2.716115456429921,58.72060191739814
2023-06-21,28308.0,30800.0,28257.99,29993.89,108926.40412,2542.0099999999984,27135.239999999998,26628.59380952381,28307.99,26844.35,26339.97,30527.43,5.95556236949355,2.4140135962123836,76.19595120573555
2023-06-22,29993.89,30500.0,29525.61,29884.92,59054.5646,974.3899999999994,27747.58714285714,26774.640952380956,29993.89,28307.99,26844.35,30462.66,-0.3633073269255882,2.659353962220613,74.44950332918896
2023-06-23,29884.92,31431.94,29800.0,30688.5,73931.89635,1631.9399999999987,28368.08714285714,26938.731904761906,29884.92,29993.89,28307.99,30267.99,2.6889146766998273,2.6514647979052306,77.31415471679016
2023-06-24,30688.51,30800.0,30250.0,30527.43,30513.30135,550.0,28941.007142857146,27103.40857142857,30688.5,29884.92,29993.89,30692.44,-0.5248545872232224,2.801582672100474,82.39758529719204
2023-06-25,30527.44,31046.01,30277.49,30462.66,30223.44801,768.5199999999968,29529.96285714286,27262.810952380954,30527.43,30688.5,29884.92,30077.41,-0.21216984200767008,2.7319710499486694,81.45183763841727
2023-06-26,30462.67,30666.0,29930.0,30267.99,45180.41489,736.0,30019.054285714286,27478.991428571426,30462.66,30527.43,30688.5,30447.31,-0.6390446533559357,2.9289509035868417,79.52985610049952
2023-06-27,30267.99,30994.97,30226.17,30692.44,42699.64157,768.8000000000029,30359.690000000002,27643.865714285716,30267.99,30462.66,30527.43,30472.0,1.4023065291087988,2.4381449767332293,80.56984332777812
2023-06-28,30692.44,30709.74,29858.8,30077.41,40463.51937,850.9400000000023,30371.62142857143,27821.869047619046,30692.44,30267.99,30462.66,30585.9,-2.0038485047132126,1.530560519856121,82.59282627336876
2023-06-29,30077.4,30843.98,30049.98,30447.31,36330.62903,794.0,30451.962857142855,28009.902380952386,30077.41,30692.44,30267.99,30617.03,1.2298266373334643,1.5766626550215548,82.36050230382762
2023-06-30,30447.31,31282.0,29500.0,30472.0,89419.07618,1782.0,30421.034285714286,28200.101904761905,30447.31,30077.41,30692.44,31156.2,0.08109090753829484,1.1666398327339473,80.47978895312599
2023-07-01,30471.99,30661.6,30320.57,30585.9,17501.75075,341.02999999999884,30429.38714285714,28426.039523809526,30472.0,30447.31,30077.41,30766.51,0.3737857705434555,1.160915301094833,80.31084763489707
2023-07-02,30585.9,30791.0,30155.0,30617.03,23286.41019,636.0,30451.44,28649.44333333333,30585.9,30472.0,30447.31,30504.81,0.10177892427556401,1.1559125419945702,82.56935645011941
